mapstat_id,timestamp_unix,team1_id,team1_nome,team1_score,team2_id,team2_nome,team2_score,vencedor,mapa,evento_id,evento_nome
171271,1709488500000,4773,paiN,5,9455,Imperial,13,Imperial,Mirage,7261,PGL CS2 Major Copenhagen 2024 Americas RMR
171251,1709470800000,12334,Preasy,4,4991,fnatic,13,fnatic,Vertigo,7709,RES Regional Series 1 Europe
171248,1709470800000,12334,Preasy,9,4991,fnatic,13,fnatic,Ancient,7709,RES Regional Series 1 Europe
171244,1709470800000,4991,fnatic,9,12334,Preasy,13,Preasy,Inferno,7709,RES Regional Series 1 Europe
171243,1709460000000,11811,Monte,7,11419,ECSTATIC,13,ECSTATIC,Nuke,7709,RES Regional Series 1 Europe
171240,1709460000000,11419,ECSTATIC,13,11811,Monte,11,ECSTATIC,Ancient,7709,RES Regional Series 1 Europe
171230,1709406000000,4914,3DMAX,13,11811,Monte,7,3DMAX,Vertigo,7709,RES Regional Series 1 Europe
171227,1709406000000,11811,Monte,4,4914,3DMAX,13,3DMAX,Nuke,7709,RES Regional Series 1 Europe
171221,1709398800000,8297,FURIA,13,5973,Liquid,10,FURIA,Mirage,7261,PGL CS2 Major Copenhagen 2024 Americas RMR
171184,1709328300000,4773,paiN,13,12468,Legacy,2,paiN,Overpass,7261,PGL CS2 Major Copenhagen 2024 Americas RMR
171180,1709319600000,12394,BetBoom,13,12334,Preasy,9,BetBoom,Vertigo,7709,RES Regional Series 1 Europe
171179,1709319600000,12334,Preasy,10,12394,BetBoom,13,BetBoom,Anubis,7709,RES Regional Series 1 Europe
171164,1709287200000,7532,BIG,13,12586,AMKAL,8,BIG,Vertigo,7709,RES Regional Series 1 Europe
171162,1709287200000,12586,AMKAL,10,7532,BIG,13,BIG,Ancient,7709,RES Regional Series 1 Europe
171161,1709287200000,7532,BIG,9,12586,AMKAL,13,AMKAL,Overpass,7709,RES Regional Series 1 Europe
171157,1709233200000,4914,3DMAX,13,11419,ECSTATIC,11,3DMAX,Overpass,7709,RES Regional Series 1 Europe
171154,1709233200000,4914,3DMAX,13,11419,ECSTATIC,10,3DMAX,Anubis,7709,RES Regional Series 1 Europe
171145,1709217000000,7865,HAVU,3,12591,KOI,13,KOI,Vertigo,7665,ESL Challenger Melbourne 2024 Europe Closed Qualifier
171141,1709217000000,12591,KOI,13,7865,HAVU,5,KOI,Ancient,7665,ESL Challenger Melbourne 2024 Europe Closed Qualifier
171126,1709146800000,12334,Preasy,19,4991,fnatic,16,Preasy,Vertigo,7709,RES Regional Series 1 Europe
171123,1709146800000,12334,Preasy,6,4991,fnatic,13,fnatic,Overpass,7709,RES Regional Series 1 Europe
171119,1709146800000,4991,fnatic,8,12334,Preasy,13,Preasy,Inferno,7709,RES Regional Series 1 Europe
171073,1709085600000,6248,The MongolZ,13,8840,Lynn Vision,3,The MongolZ,Nuke,7260,PGL CS2 Major Copenhagen 2024 Asia RMR
171072,1709085600000,8840,Lynn Vision,8,6248,The MongolZ,13,The MongolZ,Ancient,7260,PGL CS2 Major Copenhagen 2024 Asia RMR
171051,1709053200000,11641,Metizport,8,12527,Guild Eagles,13,Guild Eagles,Mirage,7664,ESL Challenger Melbourne 2024 Europe Open Qualifier
170896,1708782600000,11883,9 Pandas,13,9928,GamerLegion,11,9 Pandas,Nuke,7578,PGL CS2 Major Copenhagen 2024 Europe Last Chance Qualifier
